"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2017","76.45","75.55","77.83","75.00","4.23K","1.19%"
"Apr 20, 2017","75.55","75.00","76.08","74.22","4.45K","0.73%"
"Apr 19, 2017","75.00","75.52","78.82","75.00","4.87K","-0.69%"
"Apr 18, 2017","75.52","78.20","78.92","73.10","9.03K","-3.43%"
"Apr 17, 2017","78.20","77.20","78.50","76.00","4.03K","1.30%"
"Apr 16, 2017","77.20","76.91","78.50","75.65","4.36K","0.38%"
"Apr 15, 2017","76.91","72.92","80.85","71.11","10.89K","5.47%"
"Apr 14, 2017","72.92","73.55","74.82","70.00","7.66K","-0.86%"
"Apr 13, 2017","73.55","69.71","77.80","67.00","16.56K","5.51%"
"Apr 12, 2017","69.71","61.98","70.32","60.41","15.65K","12.47%"
"Apr 11, 2017","61.98","63.00","63.82","60.38","7.53K","-1.62%"
"Apr 10, 2017","63.00","66.25","67.20","60.58","9.81K","-4.91%"
"Apr 09, 2017","66.25","68.62","69.69","65.65","4.09K","-3.45%"
"Apr 08, 2017","68.62","67.31","71.36","66.37","5.89K","1.95%"
"Apr 07, 2017","67.31","67.32","71.00","64.80","9.09K","-0.01%"
"Apr 06, 2017","67.32","75.41","75.41","65.08","17.93K","-10.73%"
"Apr 05, 2017","75.41","69.14","78.88","65.50","24.85K","9.07%"
"Apr 04, 2017","69.14","63.00","72.66","57.31","27.99K","9.75%"
"Apr 03, 2017","63.00","56.77","67.85","44.90","48.01K","10.97%"
"Apr 02, 2017","56.77","68.20","70.48","53.59","32.20K","-16.76%"
"Apr 01, 2017","68.20","72.35","72.95","66.38","12.43K","-5.74%"
"Mar 31, 2017","72.35","78.23","78.72","65.10","34.55K","-7.52%"
"Mar 30, 2017","78.23","84.73","84.81","75.31","15.88K","-7.67%"
